"#","Question","Hint","Option A","Option B","Option C","Option D","Correct Answer","Rationale"
"1","En quelle année est né Rainer Werner Fassbinder, marquant son lien symbolique avec l'histoire de l'Allemagne de l'après-guerre ?","C'est l'année où l'Allemagne a capitulé.","1941","1949","1939","1945","D. 1945","Fassbinder est né le 31 mai 1945, l'année même de la fin de la Seconde Guerre mondiale et du début de la reconstruction allemande."
"2","Quel acteur incarne le personnage de Jochen dans la série télévisée 'Huit heures ne font pas un jour' ?","Cet acteur est également connu pour avoir joué Reinhold dans une autre fresque historique de Fassbinder.","Gottfried John","Volker Spengler","Kurt Raab","Günter Lamprecht","A. Gottfried John","Gottfried John incarne le jeune outilleur Jochen, un rôle qui a contribué à sa reconnaissance auprès du grand public."
"3","Quel est le personnage principal du film 'L'Année des treize lunes' (1978) ?","Le personnage change d'identité de genre suite à une opération à Casablanca.","Franz Biberkopf","Petra von Kant","Erwin/Elvira Weishaupt","Maria Braun","C. Erwin/Elvira Weishaupt","Le film suit les derniers jours d'Erwin, devenu Elvira après une opération de réassignation sexuelle par amour pour Anton Saitz."
"4","Dans quel film de Fassbinder le motif de l'abattoir sert-il de métaphore paroxystique à la déhumanisation capitaliste ?","Le protagoniste est un ancien boucher qui récite du Goethe devant des carcasses.","L'Année des treize lunes","Le Marchand des quatre saisons","Lili Marleen","Querelle","A. L'Année des treize lunes","La scène de l'équarrissage aux abattoirs de Francfort illustre la déchéance et la transformation du corps en marchandise."
"5","Qui était le dramaturge et producteur de la WDR avec qui Fassbinder a collaboré pour ses fictions télévisées ?","Il a co-écrit les scénarios de la trilogie RFA.","Peter Märthesheimer","Thomas Elsaesser","Michael Töteberg","Alexander Kluge","A. Peter Märthesheimer","Märthesheimer a été le partenaire stratégique de Fassbinder, facilitant le financement de ses films en échange de travaux pour la télévision."
"6","Quelle actrice incarne Marion dans 'Huit heures ne font pas un jour' ?","C'est l'actrice emblématique du Mariage de Maria Braun.","Ingrid Caven","Hanna Schygulla","Irm Hermann","Margit Carstensen","B. Hanna Schygulla","Hanna Schygulla joue Marion, la femme dont Jochen tombe amoureux, apportant une dimension de solidarité et d'optimisme."
"7","Le film 'Tous les autres s'appellent Ali' est un remake de quel chef-d'œuvre de Douglas Sirk ?","Le titre original anglais est 'All That Heaven Allows'.","Tout ce que le ciel permet","Le Mirage de la vie","Écrit sur du vent","Le Secret magnifique","A. Tout ce que le ciel permet","Fassbinder a transposé l'histoire d'amour impossible entre une veuve et son jardinier dans le contexte de la xénophobie allemande."
"8","Quel concept théorique de Mitscherlich est souvent utilisé pour analyser le rapport de Fassbinder au passé nazi ?","C'est le titre d'un essai célèbre paru en 1967.","Le théâtre de la cruauté","La société du spectacle","L'incapacité au deuil","La dialectique de la raison","C. L'incapacité au deuil","L'ouvrage de Margarete et Alexander Mitscherlich est une référence majeure pour comprendre l'amnésie collective dénoncée par Fassbinder."
"9","Quel film de 1981 de Fassbinder est une relecture de 'L'Ange bleu' de Josef von Sternberg ?","Le film fait partie de la trilogie RFA et met en scène Barbara Sukowa.","Lola, une femme allemande","Lili Marleen","Le Secret de Veronika Voss","Maria Braun","A. Lola, une femme allemande","Lola transpose l'intrigue de l'Ange bleu dans l'Allemagne des années 1950, au cœur du miracle économique."
"10","Quelle est la durée totale approximative de la série télévisée 'Berlin Alexanderplatz' ?","Divisez 900 minutes par 60.","15 heures","8 heures","24 heures","5 heures","A. 15 heures","La série se compose de 13 épisodes d'environ une heure et d'un épilogue de deux heures, totalisant près de 900 minutes."
